Season,Week,Day,Date,Propers,Name,Morning Psalm,Moring First Lesson,Morning Second Lesson,Evening Psalm,Evening First Lesson,Evening Second Lesson,
Lent,4th Week,Sunday,,2nd,Third Sunday in Lent,Psalm 34,"Zechariah 1:1-6, 12-17",Mark 8:27 - 9:1,Psalm 27,Proverbs 4:7-18,Luke 11:29-36,
Lent,4th Week,Monday,,,Monday,Psalm 68:1-19,"Genesis 37:3-28, 36",I Corinthians 9:15,Psalm 71,Jeremiah 7:1-15,Mark 10:17-31,
Lent,4th Week,Tuesday,,,Tuesday,Psalm 74,Genesis 40,I Corinthians 10:1-13,Psalm 73,Jeremiah 7:21-29,Mark 10:32-45,
Lent,4th Week,Wednesday,,,Wednesday,"Psalm 75, Psalm 76","Genesis 41:1a, 8,14-24",I Corinthians 10:14-22,Psalm 77,Jeremiah 8:4-13,Mark 10:46,
Lent,4th Week,Thursday,,,Thursday,Psalm 85,Genesis 41:25-40,I Corinthians 10:23 - 11:1,Psalm 80,Jeremiah 9:2-16,Mark 11:12-26,
Lent,4th Week,Friday,,,Friday,"Psalm 95, Psalm 79","Genesis 42:1-26, 29a, 35-38",I Corinthians 11:17,Psalm 86,Jeremiah 9:17-24,Mark 12:1-12,
Lent,4th Week,Saturday,,,Saturday,Psalm 89:1-19,"Genesis 43:1-5, 11-16, 26-34",I Corinthians 12:1-11,Psalm 103,Jeremiah 10:1-13,Mark 12:13-17,
,,,,,,,,,,,,
Lent,5th Week,Sunday,,1st,Fourth Sunday in Lent,Psalm 147,Exodus 16:4-15,John 6:27-40,Psalm 116,Isaiah 55,John 6:41-51,
Lent,5th Week,Sunday,,2nd,Fourth Sunday in Lent,Psalm 18:1-20,Ezekiel 39:21,II Corinthians 3:12,"Psalm 46, Psalm 122",II Esdras 2:15-32,Revelation 3:1-12,
Lent,5th Week,Monday,,,Monday,Psalm 90,Genesis 44,I Corinthians 12:12-31,Psalm 91,Jeremiah 13:15,Mark 12:18-27,
Lent,5th Week,Tuesday,,,Tuesday,"Psalm 93, Psalm 96",Genesis 45,I Corinthians 12:31b - 13:13,Psalm 92,Jeremiah 14:1-10,Mark 12:28-37,
Lent,5th Week,Wednesday,,,Wednesday,Psalm 94,"Genesis 47:29-31, 48:8-20",I Corinthians 14:1-12,"Psalm 97, Psalm 98",Jeremiah 15:1-9,Mark 12:38,
Lent,5th Week,Thursday,,,Thursday,Psalm 104,Genesis 49:33-50:26,I Corinthians 14:13-25,"Psalm 99, Psalm 100",Jeremiah 15:10,Mark 13:1-13,
Lent,5th Week,Friday,,,Friday,"Psalm 95, Psalm 102","Exodus 1:8-14, 22",I Corinthians 14:26,Psalm 107,Jeremiah 16:5-13,Mark 13:14-23,
Lent,5th Week,Saturday,,,Saturday,"Psalm 108:1-6, Psalm 112",Exodus 2:1-22,I Corinthians 15:1-11,Psalm 118,Jeremiah 17:5-15,Mark 13:24,
,,,,,,,,,,,,
Lent,6th Week,Sunday,,1st,Passion Sunday,Psalm 51,Isaiah 1:10-20,I Peter 4:12,"Psalm 42, Psalm 43",Hosea 6:1-6,Hebrews 10:1-25,
Lent,6th Week,Sunday,,2nd,Passion Sunday,Psalm 71,Deuteronomy 18:15,Luke 20:9-18,Psalm 40:1-16,Jeremiah 14:7-21,John 10:17-38,
Lent,6th Week,Monday,,,Monday,Psalm 119:1-16 (Section I - II),Exodus 3:1-15,I Corinthians 15:12-19,"Psalm 119:17-32 (Section III - IV), Psalm 117",Jeremiah 20:7-13,John 12:1-11,
Lent,6th Week,Tuesday,,,Tuesday,"Psalm 123, Psalm 127","Exodus 4:10-18, 27-31",I Corinthians 15:20-34,"Psalm 120, Psalm 121, Psalm 122",Jeremiah 22:10-23,John 12:12-19,
Lent,6th Week,Wednesday,,,Wednesday,"Psalm 128, Psalm 129","Exodus 5:1-9, 19 - 6:1",I Corinthians 15:35-49,Psalm 132,"Jeremiah 28:1-2, 10-17",John 12:20-33,
Lent,6th Week,Thursday,,,Thursday,Psalm 144,Exodus 11:1-8,I Corinthians 15:50,"Psalm 133, Psalm 134, Psalm 137:1-6","Jeremiah 30:12-17, 23-24",John 12:34-43,
Lent,6th Week,Friday,,,Friday,"Psalm 95, Psalm 141:1-4, Psalm 146",Exodus 12:21-28,I Corinthians 16:1-14,Psalm 139,Jeremiah 32:36-42,John 12:44,
Lent,6th Week,Saturday,,,Saturday,Psalm 147,"Exodus 12:29-39, 42",I Corinthians 16:15,Psalm 145,"Jeremiah 33:1-9, 14-16",John 13:1-17,
,,,,,,,,,,,,
Lent,7th Week,Sunday,,1st,Palm Sunday,"Psalm 24, Psalm 97",Zechariah 9:9-12,Mark 11:1-11,"Psalm 130, Psalm 138","Jeremiah 8:9-15, 18-9:1",I Corinthians 1:17,
Lent,7th Week,Sunday,,2nd,Palm Sunday,Psalm 22,Isaiah 52:13-53:12,Matthew 26,Psalm 77,"Isaiah 59:1-3, 9-21",John 12:20-36,
Lent,7th Week,Monday,,,Monday before Easter,Psalm 71,Isaiah 42:1-7,John 14:1-14,"Psalm 42, Psalm 43",Lamentations 1:7-12,John 14:15,
Lent,7th Week,Tuesday,,,Tuesday before Easter,"Psalm 6, Psalm 12",Hosea 14,John 15:1-16,Psalm 51,"Lamentations 2:10, 13-19",John 15:17,
Lent,7th Week,Wednesday,,,Wednesday before Easter,Psalm 94,"Zechariah 12:9-10, 13:1, 7-9",John 16:1-15,Psalm 74,"Lamentations 3:1, 14-33",John 16:16,
Lent,7th Week,Thursday,,,Maundy Thursday,Psalm 116,Jeremiah 31:31-34,John 13:18,"Psalm 142, Psalm 143",Lamentations 3:40-58,John 17,
Lent,7th Week,Friday,,,Good Friday,"Psalm 22, Psalm 40:1-16, Psalm 54",Genesis 22:1-18,John 18,"Psalm 69:1-22, Psalm 88",Isaiah 52:13-53:12,I Peter 2:11,
Lent,7th Week,Saturday,,,Easter Even,"Psalm 14, Psalm 16",Job 14:1-14,John 19:38,Psalm 27,Job 19:21-27a,Romans 6:3-11,
,,,,,,,,,,,,
Eastertide,1st Week,Sunday,,1st,Easter Sunday,"Psalm 93, Psalm 111",Isaiah 25:1-9,"Matthew 28:1-10, 16-20","Psalm 98, Psalm 114",Isaiah 51:9-16,Luke 24:13-35,
Eastertide,1st Week,Sunday,,2nd,Easter Sunday,Psalm 57,Exodus 12:1-14,"Revelation 14:1-7, 12-13",Psalm 118,Isaiah 12,John 20:11-18,
Eastertide,1st Week,Monday,,,Easter Monday,Psalm 2,"Isaiah 61:1-3, 10-11",Luke 24:1-12,Psalm 103,Exodus 15:1-13,John 20:1-10,
Eastertide,1st Week,Tuesday,,,Easter Tuesday,Psalm 30,"Daniel 12:1-4, 13",I Thessalonians 4:13,Psalm 115,Isaiah 30:18-21,John 20:11-18,
Eastertide,1st Week,Wednesday,,,Wednesday,"Psalm 97, Psalm 99","Micah 7:7-9, 18-20",I Timothy 6:11-19,Psalm 148,"Isaiah 26:12-16, 19",John 20:19-23,
Eastertide,1st Week,Thursday,,,Thursday,"Psalm 149, Psalm 150",Ezekiel 37:1-14,Philippians 3:7,Psalm 147,Isaiah 52:1-10,John 20:24,
Eastertide,1st Week,Friday,,,Friday,"Psalm 124, Psalm 125, Psalm 126",Isaiah 65:17,Revelation 1:4-18,"Psalm 110, Psalm 114",Zephaniah 3:14,John 21:1-14,
Eastertide,1st Week,Saturday,,,Saturday,Psalm 145,Isaiah 25:1-9,Revelation 7:9,Psalm 18:1-20,Jeremiah 31:10-14,John 21:15,
,,,,,,,,,,,,
Eastertide,2nd Week,Sunday,,1st,First Sunday after Easter,Psalm 66,Wisdom 2:23 - 3:9,Romans 1:1-12,Psalm 33,Zephaniah 3:13,John 20:19,
Eastertide,2nd Week,Sunday,,2nd,First Sunday after Easter,Psalm 103,Isaiah 43:1-12,Luke 24:36-49,"Psalm 30, Psalm 121",II Esdras 2:33,Revelation 1:4-18,
Eastertide,2nd Week,Monday,,,Monday,"Psalm 1, Psalm 3",Exodus 13:3-16,Hebrews 1,"Psalm 4, Psalm 11",Isaiah 40:1-11,I Peter 1:1-12,
Eastertide,2nd Week,Tuesday,,,Tuesday,Psalm 5,Exodus 13:17 - 14:4,Hebrews 2:1-8,"Psalm 15, Psalm 24",Isaiah 40:12-17,I Peter 1:13,
Eastertide,2nd Week,Wednesday,,,Wednesday,Psalm 22:23,"Exodus 14:5-14, 19-21, 24-28, 30",Hebrews 2:1-8,Psalm 25,"Isaiah 40:18, 21-31",I Peter 2:1-10,
Eastertide,2nd Week,Thursday,,,Thursday,Psalm 28,Exodus 15:20,Hebrews 3,"Psalm 29, Psalm 46",Isaiah 42:1-9,I Peter 2:11-17,
Eastertide,2nd Week,Friday,,,Friday,Psalm 40:1-16,"Exodus 16:1-7, 13b-15",Hebrews 4:1-13,Psalm 39,Isaiah 42:10-17,I Peter 2:18,
Eastertide,2nd Week,Saturday,,,Saturday,"Psalm 42, Psalm 43",Exodus 17:1-7,Hebrews 4:14 -5:14,"Psalm 93, Psalm 111",Isaiah 43:1-7,I Peter 3:1-12,
,,,,,,,,,,,,
Eastertide,3rd Week,Sunday,,1st,Second Sunday after Easter,"Psalm 23, Psalm 146",Isaiah 40:1-11,John 10:1-10,Psalm 145,"Ezekiel 34:11-16, 30-31",John 21:1-19,
Eastertide,3rd Week,Sunday,,2nd,Second Sunday after Easter,Psalm 34,Baruch 4:21-30,Philippians 3:7-16,"Psalm 16, Psalm 100","II Esdras 8:20-30, 46, 51-54",I Corinthians 15:12-23,
Eastertide,3rd Week,Monday,,,Monday,Psalm 49,Exodus 17:8,Hebrews 6:1-12,"Psalm 47, Psalm 48",Isaiah 43:8-13,I Peter 3:13,
Eastertide,3rd Week,Tuesday,,,Tuesday,Psalm 50,Exodus 18:1-12,Hebrews 6:13,"Psalm 61, Psalm 62","Isaiah 43:15-21, 44:1-3",I Peter 4:1-6,
Eastertide,3rd Week,Wednesday,,,Wednesday,Psalm 63,Exodus 18:13,Hebrews 7:1-11,Psalm 65,"Isaiah 44:6-8, 21-23",I Peter 4:7-11,
Eastertide,3rd Week,Thursday,,,Thursday,Psalm 66,"Exodus 19:1-7, 16-20",Hebrews 7:12,Psalm 71,Isaiah 44:9-20,I Peter 4:12,
Eastertide,3rd Week,Friday,,,Friday,Psalm 51,Exodus 20:1-21,Hebrews 8,Psalm 73,Isaiah 44:24 - 45:4,I Peter 5:1-7,
Eastertide,3rd Week,Saturday,,,Saturday,Psalm 72,"Exodus 24:1-11, 16-18",Hebrews 9:1-14,Psalm 33,"Isaiah 45:5-12, 15-19",I Peter 5:8,
,,,,,,,,,,,,
Eastertide,4th Week,Sunday,,1st,Third Sunday after Easter,"Psalm 36:5, Psalm 138",II Samuel 12:15b - 23,John 14:1-14,Psalm 68:1-20,"Isaiah 26:12-16, 19",II Corinthians 5,
Eastertide,4th Week,Sunday,,2nd,Third Sunday after Easter,"Psalm 113, Psalm 124",I Samuel 2:1b - 10,Acts 2:22-36,Psalm 115,"Wisdom 5:1-6, 14-16",Luke 20:27-39,
Eastertide,4th Week,Monday,,,Monday,Psalm 85,"Exodus 25:1-11, 17-22",Hebrews 9:15,Psalm 77,Isaiah 45:20,Ephesians 1:1-14,
Eastertide,4th Week,Tuesday,,,Tuesday,Psalm 86,"Exodus 28:1-4, 29-38",Hebrews 10:1-14,"Psalm 84, Psalm 117","Isaiah 46:3-4, 9-13",Ephesians 1:15,
Eastertide,4th Week,Wednesday,,,Wednesday,Psalm 89:1-19,"Exodus 32:1-7, 15-20",Hebrews 10:15-25,Psalm 90,Isaiah 48:12-21,Ephesians 2:1-10,
Eastertide,4th Week,Thursday,,,Thursday,Psalm 91,"Exodus 32:21-24, 30-34",Hebrews 10:26,"Psalm 97, Psalm 98",Isaiah 49:1-12,Ephesians 2:11,
Eastertide,4th Week,Friday,,,Friday,Psalm 94,Exodus 33:7,Hebrews 11:1-16,Psalm 103,Isaiah 49:13-23,Ephesians 3:1-12,
Eastertide,4th Week,Saturday,,,Saturday,"Psalm 99, Psalm 100","Exodus 34:1-10, 29-35",Hebrews 11:17-31,"Psalm 23, Psalm 30",Isaiah 50:4-10,Ephesians 3:13,
,,,,,,,,,,,,
Eastertide,5th Week,Sunday,,1st,Fourth Sunday after Easter,Psalm 116,Job 19:21-27a,John 12:44,Psalm 18:1-20,"Daniel 12:1-4, 13",I Thessalonians 4:13,
Eastertide,5th Week,Sunday,,2nd,Fourth Sunday after Easter,Psalm 107:1-16,Ezekiel 37:1-14,Acts 3:1-21,Psalm 27,Isaiah 60:13,John 8:12-30,
Eastertide,5th Week,Monday,,,Monday,"Psalm 110, Psalm 114",Numbers 10:29,Hebrews 11:32,"Psalm 111, Psalm 113",Isaiah 51:1-11,Ephesians 4:1-16,
Eastertide,5th Week,Tuesday,,,Tuesday,"Psalm 124, Psalm 126","Numbers 11:4-6, 10-15, 23, 31-32",Hebrews 12:1-17,"Psalm 121, Psalm 122",Isaiah 51:12-16,Ephesians 4:17,
Eastertide,5th Week,Wednesday,,,Wednesday,"Psalm 128, Psalm 129",Numbers 12,Hebrews 12:18,Psalm 135,"Isaiah 52:1-2, 7-12",Ephesians 5:1-14,
Eastertide,5th Week,Thursday,,,Thursday,Psalm 132,"Numbers 13:17-26, 30-33",Hebrews 13:1-8,Psalm 145,Isaiah 54:1-10,Ephesians 5:15,
Eastertide,5th Week,Friday,,,Friday,Psalm 143,Numbers 14:1-10,Hebrews 13:9-16,"Psalm 130, Psalm 138",Isaiah 54:11,Ephesians 6:1-9,
Eastertide,5th Week,Saturday,,,Saturday,"Psalm 146, Psalm 149",Numbers 14:11-25,Hebrews 13:17,"Psalm 148, Psalm 150",Isaiah 55,Ephesians 6:10,
,,,,,,,,,,,,
Eastertide,6th Week,Sunday,,1st,Rogation Sunday,"Psalm 65, Psalm 67",Ezekiel 34:25,Luke 11:1-13,Psalm 147,Isaiah 48:12-21,Revelation 5,
Eastertide,6th Week,Sunday,,2nd,Rogation Sunday,Psalm 118,II Esdras 14:27-35,"Acts 4:1-13, 33",Psalm 144,Ezekiel 36:25,Mark 11:22-26,
Eastertide,6th Week,Monday,,,Rogation Monday,Psalm 104,"Deuteronomy 8:1-11, 17-20",Matthew 6:5-15,Psalm 34,Deuteronomy 28:1-14,James 1:1-7,
Eastertide,6th Week,Tuesday,,,Rogation Tuesday,Psalm 80,Deuteronomy 11:10-17,Matthew 6:24,"Psalm 65, Psalm 67",I Kings 8:22-30,James 4:8,
Eastertide,6th Week,Wednesday,,,Rogation Wednesday,Psalm 144,Jeremiah 14:1-9,I John 5:5-15,"Psalm 93, Psalm 99",Three Chldren 29-37,Luke 24:44,
Eastertide,6th Week,Thursday,,,Ascension Day,Psalm 96,"Daniel 7:9-10, 13-14",Ephesians 4:1-16,"Psalm 24, Psalm 47","Isaiah 33:5-6. 17, 20-22",Hebrews 4:14 - 5:10,
Eastertide,6th Week,Friday,,,Ascension Friday,"Psalm 15, Psalm 108:1-5",Micah 4:1-7,Romans 8:31,"Psalm 20, Psalm 29",Isaiah 12,Acts 1:12,
Eastertide,6th Week,Saturday,,,Ascension Saturday,Psalm 45,"Genesis 49:1-2, 8-10",II Thessalonians 2:13,"Psalm 8, Psalm 98",Jeremiah 23:5-8,Acts 2:1-21,
,,,,,,,,,,,,
Eastertide,7th Week,Sunday,,1st,Sunday After Ascension,"Psalm 21:1-6, Psalm 24","Isaiah 33:5-6, 17, 20-22",John 17,"Psalm 93, Psalm 96",Wisdom 9,Ephesians 1,
Eastertide,7th Week,Sunday,,2nd,Sunday After Ascension,"Psalm 8, Psalm 108:1-5",Isaiah 4:2,Hebrews 4:14 - 5:10,"Psalm 46, Psalm 47","Isaiah 32:1-4, 15-20","John 3:16-21, 31-36a",
Eastertide,7th Week,Sunday,,3rd,Sunday After Ascension,Psalm 72,Isaiah 65:17,"Revelation 21:1-14, 21-27","Psalm 97, Psalm 110","Daniel 7:9-10, 13-14",Revelation 22,
Eastertide,7th Week,Monday,,,Monday,Psalm 2,I Samuel 2:1b-10,Revelation 5,Psalm 147,"Isaiah 66:1-2, 10-13",Acts 2:22-36,
Eastertide,7th Week,Tuesday,,,Tuesday,Psalm 92,II Samuel 7:18,Revelation 11:15,"Psalm 57, Psalm 138",Isaiah 26:1-7,Acts 2:37,
Eastertide,7th Week,Wednesday,,,Wednesday,"Psalm 21:1-6, Psalm 23",Isaiah 4:2,Revelation 19:11-16,Psalm 33,Isaiah 25:1-9,Acts 3:1-10,
Eastertide,7th Week,Thursday,,,Thursday,Psalm 66,II Kings 2:1-15,Revelation 21:1-8,Psalm 72,Isaiah 9:2-7,Acts 3:11,
Eastertide,7th Week,Friday,,,Friday,Psalm 115,Isaiah 35,Revelation 21:9,"Psalm 116, Psalm 117","II Samuel 22:32-34, 44-51",Acts 4:1-12,
Eastertide,7th Week,Saturday,,,Saturday,Psalm 81,"Zechariah 8:1-8, 20-23",Revelation 22:1-17,"Psalm 46, Psalm 133",Deuteronomy 16:9-12,Romans 8:12-18,
,,,,,,,,,,,,
Eastertide,8th Week,Sunday,,1st,Whitsunday (Pentecost),"Psalm 68, Psalm 18:1-20",Wisdom 1:1-7,John 4:19-26,Psalm 104,Wisdom 7:22 - 8:1,I Corinthians 2,
Eastertide,8th Week,Sunday,,2nd,Whitsunday (Pentecost),Psalm 145,Joel 2:28,Romans 8:1-11,"Psalm 48, Psalm 122",Isaiah 11:1-9,John 6:53-69,
Eastertide,8th Week,Monday,,,Whit Monday,Psalm 139,Wisdom 9:1-6,I Corinthians 3:9-17,Psalm 103,Jeremiah 31:31-34,Acts 4:13-22,"Technically Pentecost is the last day of Eastertide, but I thought this necessary keep the dates right."
Eastertide,8th Week,Tuesday,,,Whitsun Tuesday,Psalm 148,Ezekiel 36:22-28,I Corinthians 12:1-13,Psalm 145,"Numbers 11:16-17, 24-30",Acts 4:23,
Eastertide,8th Week,Wednesday,,,Ember Wednesday,Psalm 132,Ecclesiasticus 39:1-8,I Corinthians 2,Psalm 84,"Wisdom 9:9-11, 17-18",Acts 5:12-28,
Eastertide,8th Week,Thursday,,,Thursday,Psalm 48,"Isaiah 44:1-8, 21-23",Galatians 5:16-25,Psalm 18:1-20,Wisdom 11:21 - 12:2,Acts 5:29,
Eastertide,8th Week,Friday,,,Ember Friday,"Psalm 122, Psalm 125",Isaiah 61:1-9,II Corinthians 3,"Psalm 43, Psalm 134",Isaiah 52:1-10,Acts 6,
Eastertide,8th Week,Saturday,,,Ember Saturday,Psalm 19,Micah 3:5-8,II Timothy 1:1-14,"Psalm 111, Psalm 113",Numbers 6:22,II Corinthians 13:5,
,,,,,,,,,,,,
Trinity,,Sunday,,1st,Trinity Sunday,"Psalm 29, Psalm 99",Isaiah 6:1-8,I Peter 1:1-12,"Psalm 98, Psalm 100","Ecclesiasticus 43:1-12, 27-33",Ephesians 4:1-16,
Trinity,,Sunday,,2nd,Trinity Sunday,Psalm 33,Genesis 1:1 - 2:3,John 1:1-18,"Psalm 148, Psalm 150","Job 38:1-11, 16-18, 42:1-6",John 1:29-34,
Trinity,,Monday,,,Monday,"Psalm 2, Psalm 3",Numbers 16:1-14,Luke 1:1-25,"Psalm 4, Psalm 8",Ezra 1:1-8,Acts 7:1-16,
Trinity,,Tuesday,,,Tuesday,Psalm 5,Numbers 16:15-35,Luke 1:26-38,"Psalm 16, Psalm 20","Ezra 4:7, 11-24",Acts 7:17-34,
Trinity,,Wednesday,,,Wednesday,Psalm 7,Numbers 17:1-11,Luke 1:39-56,Psalm 25,"Haggai 1:1-8, 12-15",Acts 7:35-53,
Trinity,,Thursday,,,Thursday,Psalm 9,Numbers 20:1-13,Luke 1:57-66,Psalm 27,Haggai 2:1-9,Acts 7:54 - 8:4,
Trinity,,Friday,,,Friday,Psalm 10,Numbers 20:14,Luke 1:67,"Psalm 6, Psalm 26",Zechariah 1:7-17,Acts 8:5-25,
Trinity,,Saturday,,,Saturday,"Psalm 13, Psalm 14",Numbers 21:4-9,Luke 2:1-20,"Psalm 29, Psalm 30",Zechariah 2,Acts 8:26,
,,,,,,,,,,,,
Trinity 01,,Sunday,,1st,First Sunday after Trinity,Psalm 73,Jeremiah 23:23-32,"Matthew 7:13-14, 21-29",Psalm 119:33-48 (Section V - VI),Deuteronomy 30:11,"John 13:1-17, 34-35",
Trinity 01,,Sunday,,2nd,First Sunday after Trinity,Psalm 89:1-19,"Isaiah 5:8-12, 18-24",James 5,Psalm 49,Job 21:17-33,Luke 16:19,
Trinity 01,,Sunday,,3rd,First Sunday after Trinity,Psalm 90,Genesis 3,Romans 5,Psalm 85,"I Samuel 1:1-11, 19-20",Acts 6,
Trinity 01,,Monday,,,Monday,Psalm 28,Numbers 22:2-14,Luke 2:21-40,Psalm 31,"Ezra 5:1-2, 6-17",Acts 9:1-19,
Trinity 01,,Tuesday,,,Tuesday,Psalm 32,"Numbers 22:15-21, 36-40",Luke 2:41,Psalm 33,Ezra 6:1-12,Acts 9:20-31,
Trinity 01,,Wednesday,,,Wednesday,Psalm 37:1-24,Numbers 22:41 - 23:12,Luke 3:1-22,Psalm 34,Ezra 6:13-18,Acts 9:32,
Trinity 01,,Thursday,,,Thursday,Psalm 37:26,Numbers 23:13-26,Luke 4:1-13,Psalm 39,Zechariah 7:8,Acts 10:1-23,
Trinity 01,,Friday,,,Friday,Psalm 40:1-16,"Numbers 23:27 - 24:13, 25",Luke 4:14-30,"Psalm 41, Psalm 54",Zechariah 8:1-13,Acts 10:24-33,
Trinity 01,,Saturday,,,Saturday,Psalm 44,Deuteronomy 34,Luke 4:31-41,"Psalm 46, Psalm 47",Zechariah 8:14,Acts 10:34,
,,,,,,,,,,,,
Trinity 02,,Sunday,,1st,Second Sunday after Trinity,"Psalm 15, Psalm 19",Job 31:13-28,I Corinthians 13,"Psalm 112, Psalm 113","I Samuel 20:1-7, 12-42",I Peter 1:17,
Trinity 02,,Sunday,,2nd,Second Sunday after Trinity,"Psalm 76, Psalm 125",Deuteronomy 20:1-9,Luke 9:57,"Psalm 138, Psalm 146",II Kings 4:8-17,Luke 14:12-24,
Trinity 02,,Sunday,,3rd,Second Sunday after Trinity,"Psalm 11, Psalm 12","Genesis 6:5-8, 13-22",Matthew 24:32-42,Psalm 147,I Samuel 3:1-18,Acts 7:44 - 8:4,
Trinity 02,,Monday,,,Monday,Psalm 48,Joshua 1,Luke 4:42 - 5:11,"Psalm 42, Psalm 43","Ezra 5:1-2, 6-17",Acts 9:1-19,
Trinity 02,,Tuesday,,,Tuesday,Psalm 49,"Joshua 3:1-6, 13-17",Luke 5:12-26,Psalm 50,"Ezra 8:15a, 21-23, 31-36",Acts 11:19,
Trinity 02,,Wednesday,,,Wednesday,Psalm 57,Joshua 4:1-8,Luke 5:27,"Psalm 61, Psalm 62",Nehemiah 1,Acts 12:1-24,
Trinity 02,,Thursday,,,Thursday,Psalm 63,"Joshua 6:1-7, 11, 14-20",Luke 6:1-11,Psalm 65,Nehemiah 2:1-8,Acts 12:25 - 13:12,
Trinity 02,,Friday,,,Friday,Psalm 71,Joshua 14:6,Luke 6:12-26,Psalm 77,Nehemiah 2:9,Acts 13:13-25,
Trinity 02,,Saturday,,,Saturday,Psalm 73,"Joshua 23:1-3, 11-16",Luke 6:27-38,Psalm 66,Nehemiah 4:6,Acts 13:26-43,
,,,,,,,,,,,,
Trinity 03,,Sunday,,1st,Third Sunday after Trinity,Psalm 145,Jeremiah 31:1-14,Matthew 9:9-13,"Psalm 32, Psalm 36:5",Jeremiah 23:1-8,Luke 19:2-10,
Trinity 03,,Sunday,,2nd,Third Sunday after Trinity,Psalm 25,"Proverbs 16:18-24, 32",Philippians 1:27 - 2:4,Psalm 103,Ezekiel 34:20-24,Luke 15:1-10,
Trinity 03,,Sunday,,3rd,Third Sunday after Trinity,Psalm 27,Genesis 9:1-17,I Peter 3:17 - 4:6,Psalm 72,I Samuel 8,Acts 8:5-25,
Trinity 03,,Monday,,,Monday,Psalm 86,Judges 5:1-18,Luke 6:39,"Psalm 84, Psalm 85",Nehemiah 5:1-13,Acts 13:44 -14:7,
Trinity 03,,Tuesday,,,Tuesday,Psalm 89:1-19,Judges 5:19,Luke 7:1-10,Psalm 90,"Nehemiah 8:1-3, 5-6, 9-12",Acts 14:8-18,
Trinity 03,,Wednesday,,,Wednesday,Psalm 92,"Judges 6:1, 11-16, 33-35",Luke 7:11-17,Psalm 104,Nehemiah 9:5-15,Acts 14:19,
Trinity 03,,Thursday,,,Thursday,Psalm 94,Judges 7:1-8,Luke 7:18-35,"Psalm 111, Psalm 114",Nehemiah 9:32,Acts 15:1-12,
Trinity 03,,Friday,,,Friday,Psalm 102,Judges 7:16,Luke 7:36,Psalm 116,Nehemiah 13:15-22,Acts 15:13-21,
Trinity 03,,Saturday,,,Saturday,Psalm 107:1-16,"Judges 10:17, 11:29-40",Luke 8:1-15,"Psalm 93, Psalm 99","I Maccabees 1:1, 7-15",Acts 15:22-35,
,,,,,,,,,,,,
Trinity 04,,Sunday,,1st,Fourth Sunday after Trinity,Psalm 91,Lamentations 3:22-33,Matthew 10:24-39,Psalm 51,Isaiah 29:9-15,Matthew 15:1-20,
Trinity 04,,Sunday,,2nd,Fourth Sunday after Trinity,"Psalm 75, Psalm 82","Deuteronomy 32:1-4, 34-39",Romans 2:1-16,Psalm 139,"Proverbs 27:1-6, 10-12",Luke 6:36-42,
Trinity 04,,Sunday,,3rd,Fourth Sunday after Trinity,"Psalm 22:23, Psalm 67",Genesis 12:1-9,Galatians 3:1-9,Psalm 80,"I Samuel 9:1-10, 18-19, 26 - 10:1",Acts 8:26,
Trinity 04,,Monday,,,Monday,Psalm 119:49-64 (Section VII - VI),"Judges 13:2-14, 24",Luke 8:16-25,"Psalm 119:65-80 (Section IX - X), Psalm 117",I Maccabees 1:41-53,Acts 15:36 - 16:5,
Trinity 04,,Tuesday,,,Tuesday,"Psalm 123, Psalm 124",Judges 16:4-14,Luke 8:26-39,"Psalm 126, Psalm 127, Psalm 130",I Maccabees 1:54,Acts 16:6-15,
Trinity 04,,Wednesday,,,Wednesday,"Psalm 125, Psalm 138",Judges 16:15-22,Luke 8:40,"Psalm 132, Psalm 134",I Maccabees 2:1-14,Acts 16:16-24,
Trinity 04,,Thursday,,,Thursday,Psalm 136,Judges 16:23,Luke 9:1-17,Psalm 144,I Maccabees 2:15-30,Acts 16:25,
Trinity 04,,Friday,,,Friday,"Psalm 142, Psalm 143",Ruth 1:1-14,Luke 9:18-27,Psalm 145,I Maccabees 2:31-43,Acts 17:1-15,
Trinity 04,,Saturday,,,Saturday,Psalm 147,Ruth 1:15,Luke 9:28-45,"Psalm 148, Psalm 150","I Maccabees 2:49-52, 61-70",Acts 17:16,
,,,,,,,,,,,,
Trinity 05,,Sunday,,1st,Fifth Sunday after Trinity,"Psalm 62, Psalm 63","Ecclesiastes 2:1-11, 18-23",Matthew 19:16,Psalm 66,"Proverbs 3:1-7, 11-12",Luke 14:25,
Trinity 05,,Sunday,,2nd,Fifth Sunday after Trinity,Psalm 34,"Proverbs 15:1-10, 26",James 3,Psalm 65,Judges 6:11-23,Luke 5:1-11,
Trinity 05,,Sunday,,3rd,Fifth Sunday after Trinity,"Psalm 1, Psalm 121",Genesis 17:1-8,Hebrews 11:1-16,"Psalm 97, Psalm 98",I Samuel 11,Acts 9:1-20,
Trinity 05,,Monday,,,Monday,"Psalm 11, Psalm 12",Ruth 2:1-13,Luke 9:46,"Psalm 8, Psalm 19",I Maccabees 3:1-9,Acts 18:1-11,
Trinity 05,,Tuesday,,,Tuesday,Psalm 17,Ruth 2:14,Luke 10:1-24,"Psalm 13, Psalm 14",I Maccabees 3:42-54,Acts 18:12-23,
